Item,Product Link,Supplier,Price,Quantity
Projection Lamp,https://s.lazada.sg/s.2TxUM,Lazada,6.62 SDG/pcs,1
3.5mm female mono audio jack cable,https://sg.shp.ee/sDdF9VP,Shopee,2.10 SGD/pcs,1
Cable Tie 3x100mm,https://sg.shp.ee/rzqTJnm,Shopee,1.62 SGD/100pcs,1
